Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
SB_CXC,View,NativoDesde3100,IgualDesde3100,0,0,
SB_CXP,View,NativoDesde3100,IgualDesde3100,0,0,
SB_GAS,View,NativoDesde3100,IgualDesde3100,0,0,
SB_NOM,View,NativoDesde3100,IgualDesde3100,0,0,
SB_STCTE,View,NativoDesde3100,IgualDesde3100,0,0,
SB_VTAS,View,NativoDesde3100,IgualDesde3100,0,0,
SBFiltro,Table,NativoDesde3100,IgualDesde3100,0,0,
SBProceso,Table,NativoDesde3100,IgualDesde3100,0,0,
SBProcesoDimension,Table,NativoDesde3100,IgualDesde3100,0,0,
SBTotales,Table,NativoDesde3100,IgualDesde3100,0,0,
SBTrabajo,Table,NativoDesde3100,IgualDesde3100,0,0,
SBVista,Table,NativoDesde3100,IgualDesde3100,0,0,
SBVistaD,Table,NativoDesde3100,IgualDesde3100,0,0,
SCM_Art_Duplicados,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_Art_Duplicados_Bloq,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_Art_imagen,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_Art_imagen_web,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_Art_imagenes_extra,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_ART_PROMOCION_DIMA,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_ELIMINAR_ANEXOS,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_exporta_art_propiedades,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SCM_RANGOS_PRECIOS,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_ACCESOS,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_ALERTAS,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_CONF_CONTCOMER,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_LISTACOLOR,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_LOG,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_PAQUETE_VIGENCIA,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_PERFIL_UEN,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_SEGUROSVIDA,Table,SoloDeMavi,SoloDeMavi,0,0,
SCM_SELP_SUBMENUS,Table,SoloDeMavi,SoloDeMavi,0,0,
SdosIniOperativosAfectanAuxCont,Table,SoloDeMavi,SoloDeMavi,0,0,
SegmentosMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
SegurosVida,Table,SoloDeMavi,SoloDeMavi,0,0,
SeguroTipoPoliza,Table,NativoDesde3100,IgualDesde3100,0,0,
SeguroTipoPolizaCobertura,Table,NativoDesde3100,IgualDesde3100,0,0,
SeguroTipoPolizaEx,Table,NativoDesde3100,IgualDesde3100,0,0,
Sentinel,Table,NativoDesde3100,IgualDesde3100,0,0,
SentinelHist,Table,NativoDesde3100,IgualDesde3100,0,0,
SerieLote,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
SerieLoteAsigando,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteAutorizacion,Table,NativoDesde3100,IgualDesde3100,0,0,
SerieLoteCalidad,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
SerieLoteConsignacion,Table,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteConsignacionAux,Table,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteConsignacionAuxTemp,Table,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteConsignacionAuxTempV,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteConsignacionAuxV,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteD,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
SerieLoteDias,View,NativoDesde3100,IgualDesde3100,0,0,
SerieLoteEstatus,View,NativoDesde3100,IgualDesde3100,0,0,
SerieLoteMov,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
SerieLoteMovAFExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteMovArrastre,Table,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteMovCOMSExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteMovINVExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteMovMovil,Table,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteMovPCExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteMovPRODExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteMovVTASExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
SerieLoteProp,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
SerieLotePropiedades,View,NativoDesde3100,IgualDesde3100,0,0,
SerieTarjetaMov,Table,NativoDesde5000,NativoDesde5000,0,0,
SerieTarjetaMovM,Table,NativoDesde5000,NativoDesde5000,0,0,
ServerImpresion,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioAccesorios,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioCilindros,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioContratoTipo,View,NativoDesde3100,IgualDesde3100,0,0,
ServicioIdentificador,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioJSON,Table,NativoDesde5000,NativoDesde5000,0,0,
ServicioMatriz,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioMatrizBase,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioModelo,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioMotor,Table,NativoDesde3100,IgualDesde3100,0,0,
ServiciosG3,Table,NativoDesde5000,NativoDesde5000,0,0,
ServiciosG3Detalle,Table,NativoDesde5000,NativoDesde5000,0,0,
ServiciosPendientesAgente,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ServicioTarea,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioTipoOperacion,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioTipoOrden,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioTipoPlantilla,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ServicioTraccion,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioTransmision,Table,NativoDesde3100,IgualDesde3100,0,0,
ServicioVehiculo,Table,NativoDesde3100,IgualDesde3100,0,0,
Sesion,Table,NativoDesde3100,IgualDesde3100,0,0,
SesionVar,Table,NativoDesde3100,IgualDesde3100,0,0,
SHM_ACTUALIZAR_INTELISIS,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_BURO_DIGITAL_DATOS_SOLICITUD,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_BURO_ORIGEN_CREDITO,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_InsertImporte_Cte,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_MonVirtual_RegistraRedencion,Table,SoloDeMavi,SoloDeMavi,0,0,
SHM_MOTIVOS_LIBERADORDIMAS,Table,SoloDeMavi,SoloDeMavi,0,0,
SHM_SP_ACD00001ConcidenciasCteFinal,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_Valida_Analisis,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_ValidaArticuloDINEyVIDA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_ValidaCliente_Nuevo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SHM_ValorDeEventosValera,Table,SoloDeMavi,SoloDeMavi,0,0,
SIC,Table,NativoDesde3100,IgualDesde3100,0,0,
SID_ALTA_REGISTRO_COBRO,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SID_GENERA_REF_RUT_CAMBIO_DOMICILIO,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SID_GUARDAR_PREGUNTAS_SEGURIDAD,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SimuladorBonifAdelantoPago,Table,SoloDeMavi,SoloDeMavi,0,0,
SincroCamposBD1,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroCamposBD2,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroComparacion,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISBaja,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISControl,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISDebugTrigger,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISDropBoxPaquete,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISGUIDRecibido,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISGUIDSesion,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISIDRemotoControl,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISInsertarEncabezado,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISLog,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISNoRebote,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISOk,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISRetransmisor,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISRetraso,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISSesion,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISSolicitud,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISSucursalRetraso,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISTablaEstructura,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISTablaFiltroEspecial,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISTablaSinonimo,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISTrabajo,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroISTransmisorSucursal,Table,NativoDesde5000,NativoDesde5000,0,0,
SincroSSBBaja,Table,NativoDesde3100,IgualDesde3100,0,0,
SincroSSBControl,Table,NativoDesde3100,IgualDesde3100,0,0,
SincroSSBLog,Table,NativoDesde3100,IgualDesde3100,0,0,
SincroSSBModoManual,Table,NativoDesde3100,IgualDesde3100,0,0,
SincroSSBNoRebote,Table,NativoDesde3100,IgualDesde3100,0,0,
SincroSSBOk,Table,NativoDesde3100,IgualDesde3100,0,0,
SincroSSBSolicitud,Table,NativoDesde3100,IgualDesde3100,0,0,
Sindicato,Table,NativoDesde3100,IgualDesde3100,0,0,
SIP_Descripcion_Familia_Linea,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_EXCLUIR_PRODUCTOS,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_Historico,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_LOG,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_Permisos,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_Permisos_Fotos,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_productos,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_tabla_productos_forzados,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_Usuarios_Perfiles,Table,SoloDeMavi,SoloDeMavi,0,0,
SIP_Valores_Posibles,Table,SoloDeMavi,SoloDeMavi,0,0,
Sistema,Table,NativoDesde3100,IgualDesde3100,0,0,
SituacionArea,Table,NativoDesde5000,NativoDesde5000,0,0,
SituacionCta,Table,NativoDesde5000,NativoDesde5000,0,0,
SizeLog,Table,SoloDeMavi,SoloDeMavi,0,0,
SMS,Table,NativoDesde3100,IgualDesde3100,0,0,
Socio,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
SocioCat,Table,NativoDesde3100,IgualDesde3100,0,0,
SocioFam,Table,NativoDesde3100,IgualDesde3100,0,0,
SocioGrupo,Table,NativoDesde3100,IgualDesde3100,0,0,
SocioResultado,View,NativoDesde3100,IgualDesde3100,0,0,
Soporte,Table,NativoDesde3100,CambioSoloMavi,0,1,CambioMavi
SoporteC,Table,NativoDesde3100,IgualDesde3100,0,0,
SoporteCambio,Table,NativoDesde3100,IgualDesde3100,0,0,
SoporteCampoExtra,View,SoloDeMavi,SoloDeMavi,0,0,
SoporteCont,View,NativoDesde3100,IgualDesde3100,0,0,
SoporteD,Table,NativoDesde3100,IgualDesde3100,0,0,
SoporteDMov,View,NativoDesde3100,IgualDesde3100,0,0,
SoporteElemento,Table,NativoDesde3100,IgualDesde3100,0,0,
SoporteEstado,Table,NativoDesde3100,IgualDesde3100,0,0,
SoporteExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
SoporteMedio,Table,NativoDesde3100,IgualDesde3100,0,0,
SorianaArtCajaTarima,Table,EnProduccionYNativo5000,,0,0,
SorianaArticulos,Table,EnProduccionYNativo5000,,0,0,
SorianaCajasTarimas,Table,EnProduccionYNativo5000,,0,0,
SorianaPedidos,Table,EnProduccionYNativo5000,,0,0,
SorianaPedimento,Table,EnProduccionYNativo5000,,0,0,
SorianaRemision,Table,EnProduccionYNativo5000,,0,0,
SP_00024_OpMensaje,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_21LayoutsGobNAY,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_34LayoutsCMA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ABONOS_CTAS_LCT,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_AboOpeCteExpressMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_AccionCancelarContactosMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_AccionCancelarMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_AccionNuevoCtoMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ACD00022CargarZonasAgentes,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ACD00025_OBTENER_ARTICULOS,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ActSID_HOJA_VERDE,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ActualizaCteMayoreoMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_ActualizaFolioCFDMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_ActualizaProgaramaFinanciamientoMAVI,Stored Procedure,EnProduccionYNativo5000,,0,0,
sp_agdArchivoLeer,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
sp_agdCartaCupoEscribir,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
sp_agdCartaCupoLeer,Stored Procedure,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
SP_AgtsComerVsMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_alterdiagram,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_APLICNOTCRED_DEP2016,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_aroEventoPerdidaEstatus,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
sp_aroRiesgoEstatus,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
sp_aroRiesgoEvaluacionAceptar,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
sp_aroRiesgoEvaluacionEstatus,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
SP_AsignacionAvalesWeb,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_AsignaCobranzaTel,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_AuxCostoVentasMAVI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_AuxImpExiCredilanasMAVI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_AuxNotVtasCredMAVI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_BorrarHistorico90D,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CALCULADORDEGASTOSWEB,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CambiarPropectoRedDim,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CargaClientesMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CLONAR_EVENTO_VALERA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_COB_CANCELA_SEGUROS,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_Cob_Log_InfoCte,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CobTelBorraAsignacionesNulasMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ComisionesForaneosMayMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_COMP_FICHASTECNICAS,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_COMP_FICHASTECNICAS_CAPTURA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_CompIndiVarMAVI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_ComprasSamsung,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_CompVtasMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_CompVtasMaviAG,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_CompVtasMaviAI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ContactoAlcambiarMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_ContelectronicaAsociacionCFDI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_CorteCajaMAVI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CostoVenta,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_creatediagram,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CRED_ASIGNACION_SUPERVISORES,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CRED_ASIGNACION_SUPERVISORES_GENERARASIG,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CRED_ASIGNACION_SUPERVISORES_GESTIONAR_PERMISOS,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CREDITO_WEB_VALORES_FORM,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CtasResultadoOperativo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_CuentaContactosMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_DeduccionPromotorCobMAVI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
sp_DeterCostoVtasMAVI,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0021SueldoGarantiaHist,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0100CrediImpTxt,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0112CapturaCalifSuperv,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0123AEliminarReg,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0123ANivelContacto,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0123NivelContactoVariosCtes,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0125AfectacionEmbarques,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0125CampoIDOrdTrasMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0125ImpresionTraspasosLote,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0138InsertGuardaCorreomodulo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169ActualizaBanderaVentaGlobal,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169AcutalizaBanderaVenta,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169ContSatExtrangeroValidacion,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169DeleteEscaneo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169escaneoDetalle,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169FiltroPeriodo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169FiltroQuincena,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169GarantiasVenta,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169ValidacionAgentes,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169ValidaReferenciaAcre,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0169VentaCamposExtra,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0173InsertaTarjetaMon,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0173ValidaMonedero,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0174MaviAfectarEmbarquePiso,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0174MAVIEMBActualizarDatosEntregados,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0174MaviEmbarquePisoAsignar,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0175GerentesDimas,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0175JefesDeGrupoDima,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0175porcRecuperacionJob,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0188BitacoraCalificaciones,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0192ActualizaLineaCreditoCte,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0193NivelcobAgenteHist,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0194ExigiblesJOB,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0194ExpExigibles,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0196EliminarCrearDivision,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0198CobDiariaXCte,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0199CobDiariaInst,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0201CobDiariaXDpto,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0201DetalleCobrosRep,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0207AsigCtasDetalleFinal,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0207AsigCtasResumenFinal,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0207AsignacionCteFinal,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0207EliminarDivision,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0207EliminarDivisionFinal,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0208PlanificadorEjecucion,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0209CXCMovCancelados,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0211GenPagCheq,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0211Mensaje,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_DM0214RepararConflictosZonasCobranza,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0216AccesoUsuarios,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0224AsignaCampos,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0224DistribucionLote,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0224EliminaArtAlm,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0224EliminaPteDM0224,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0224FiltrosReporte,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0226ElimnaInvmov,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0227GenOCRespectoMaxMinimos,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0227InserOCRespectoMaxMinimos,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0229CambioSeccionCte,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235ActualizaRegistrodisperso,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235ActulizarLayout,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235CambiosEstatus,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235CancelaIDPadre,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235CgosCanc,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235Corregirident,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235CorregirLayoutRecepcionMavi,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235EstSaldo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235GuardaDep,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235GuardaIDPadre,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235IdentEjePerQui,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235MovEstadistico,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235NotasCgo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235ReutilizarSaldo,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235TruncateCorrecionLayout,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235UpdateDispersa,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0235VentasCanaltruncate,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_DM0237HERRAMIENTAESTRUCTURAAGENTE,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_DM0237HERRAMIENTAESTRUCTURAAGENTE2,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_DM0237HERRAMIENTAREPORTAA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_DM0237HERRAMIENTAREPORTAA2,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_DM0237MODIFICACIONAGENTE,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Sp_DM0237MODIFICACIONREPORTAA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0238REVISARFECHA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0238UPDATETABLA,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0238UPDATETABLAESTATUS,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0238VALIDARUSUARIO,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0239DistAutoGSol,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0239DistribucionAutomatica,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0240CtasQuebrantoRep,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0240CuentasQuebranto,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0240Demandacte,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
SP_DM0240ParamQuebranto,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
