Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
FN_DM0312_RegistroDeHuellaCliente,Inline Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DM0312TiemposUsuarios,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DocCobrableMayMavi,Table Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_DocCobradoMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_documento_factor,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
FN_eCommerceUrlkey,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_EmbarquesPesoVolumenTotal,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_emisor,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
fn_encrypta,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
FN_EsPrestamoEnNCredMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_EstadisticaMoraMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_ExcConNCreMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_fecha,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
Fn_FinanPrestamosMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_IvaDevCxcInst15Mavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviAgrupaCadena,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviAnioQuincenafinal,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviArtExhibPlaneador,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviAsignacionTel,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviAvalCte,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviCaculoRefi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVICALCULAMORATORIOS,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCancelaSegVidaCorrCobro,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCargoXCancCobroSegVida,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCFDCanaliza,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCFDExtrae,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviClaveObservacionSaldoMaviBuro,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviClienteRFCBuro,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCobrosXMov,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCobrosXMovPos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCobrosXNota,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
